dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
1969-12-30,0,0,"kcal","0","30",0,12
1969-12-31,0,0,"kcal","0","30",0,12
2017-10-28,0,0,"kcal","0","30",0,12
2017-10-29,2.002,0,"kcal","0","30",0,12
2017-12-10,0,400,"kcal","0","30",0,12
2017-12-11,6.888,400,"kcal","0","30",1,12
2017-12-12,151.204,400,"kcal","2","30",5,12
2017-12-13,1.364,400,"kcal","0","30",0,12
2017-12-14,66.399,400,"kcal","10","30",1,12
2017-12-17,0,400,"kcal","0","30",0,12
2017-12-18,194.678,400,"kcal","14","30",5,12
2017-12-19,386.064,400,"kcal","42","30",5,12
2017-12-20,0,400,"kcal","0","30",0,12
2017-12-21,639.18,400,"kcal","62","30",2,12
2017-12-22,291.697,400,"kcal","45","30",3,12
2017-12-23,1012.03,400,"kcal","100","30",4,12
2017-12-24,1051.01,400,"kcal","92","30",5,12
2017-12-25,23.382,400,"kcal","3","30",1,12
2017-12-26,403.781,400,"kcal","49","30",4,12
2017-12-27,0,400,"kcal","0","30",0,12
2017-12-28,247.607,400,"kcal","18","30",3,12
2017-12-29,240.131,400,"kcal","24","30",3,12
2017-12-30,100.726,400,"kcal","2","30",3,12
2017-12-31,1018.89,400,"kcal","101","30",4,12
2018-01-01,0,400,"kcal","0","30",0,12
2018-01-02,594.544,400,"kcal","81","30",5,12
2018-01-04,0,400,"kcal","0","30",0,12
2018-01-05,155.824,400,"kcal","6","30",5,12
2018-01-11,0,400,"kcal","0","30",0,12
2018-01-12,285.997,400,"kcal","24","30",5,12
2018-01-13,46.944,400,"kcal","3","30",1,12
2018-01-14,0,400,"kcal","0","30",0,12
2018-01-15,447.947,400,"kcal","35","30",9,12
2018-01-29,0,400,"kcal","0","30",0,12
2018-01-30,0,400,"kcal","0","30",0,12
2018-02-06,0,400,"kcal","0","30",0,12
2018-02-07,489.456,400,"kcal","43","30",11,12
2018-02-09,0,400,"kcal","0","30",0,12
2018-02-10,333.001,400,"kcal","46","30",4,12
2018-02-11,753.65,400,"kcal","90","30",5,12
2018-02-21,0,400,"kcal","0","30",0,12
2018-02-22,289.124,400,"kcal","9","30",4,12
2018-02-23,0,400,"kcal","0","30",0,12
2018-02-25,0,400,"kcal","0","30",0,12
2018-02-26,665.716,400,"kcal","63","30",2,12
2018-03-08,0,400,"kcal","0","30",0,12
2018-03-09,698.374,400,"kcal","75","30",2,12
2018-03-10,467.326,400,"kcal","32","30",8,12
2018-03-19,0,400,"kcal","0","30",0,12
2018-03-20,254.128,400,"kcal","28","30",6,12
2018-03-21,0,400,"kcal","0","30",0,12
2018-03-22,287.882,400,"kcal","27","30",4,12
2018-03-23,1235.52,400,"kcal","131","30",6,12
2018-03-24,979.579,400,"kcal","111","30",4,12
2018-03-26,0,400,"kcal","0","30",0,12
2018-03-27,333.859,400,"kcal","59","30",3,12
2018-03-28,1042.95,400,"kcal","113","30",6,12
2018-03-29,1156.32,400,"kcal","152","30",4,12
2018-03-30,1092.41,400,"kcal","120","30",3,12
2018-03-31,1068.15,400,"kcal","123","30",6,12
2018-04-01,1187.34,400,"kcal","130","30",6,12
2018-04-02,968.195,400,"kcal","107","30",4,12
2018-04-03,0,400,"kcal","0","30",0,12
2018-04-04,1068.87,400,"kcal","125","30",4,12
2018-04-05,0,400,"kcal","0","30",0,12
2018-04-06,1240.55,400,"kcal","132","30",4,12
